[2026-07-15 16:09:37] Initialized 27 file hashes in whitelist
[2026-07-15 16:09:37] WMI monitoring skipped (non-admin), using polling mode only
[2026-07-15 16:18:29] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:30] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:32] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:33] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:35] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:36] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:38] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:39] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:41] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:42] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:44] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:45] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:47] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:48] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:50] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:51] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:53] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:54] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:56] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:57] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:18:59] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:00] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:02] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:03] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:05] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
[2026-07-15 16:19:06] RecheckFileIntegrity: tampering detected WpfExecutable (expected=a968d274, actual=36a4dcae)
